session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,cum_gross,cum_net
2012-02-21,201203,SHORT,2012-02-21 03:00:00+00:00,2012-02-21 05:00:00+00:00,2012-02-21 07:00:00+00:00,0.015,33.6,33.76,-0.16,-160.0,-191.2,13770.0,-6790.8
2012-02-22,201203,LONG,2012-02-21 23:00:00+00:00,2012-02-22 01:00:00+00:00,2012-02-22 03:00:00+00:00,-0.145,34.165,34.24,0.075,75.0,43.8,13845.0,-6747.0
2012-02-22,201203,LONG,2012-02-22 03:00:00+00:00,2012-02-22 05:00:00+00:00,2012-02-22 07:00:00+00:00,-0.045,34.195,34.32,0.125,125.0,93.8,13970.0,-6653.2
2012-02-23,201203,SHORT,2012-02-22 23:00:00+00:00,2012-02-23 01:00:00+00:00,2012-02-23 03:00:00+00:00,0.055,34.3,34.255,0.045,45.0,13.8,14015.0,-6639.4
2012-02-23,201203,SHORT,2012-02-23 03:00:00+00:00,2012-02-23 05:00:00+00:00,2012-02-23 07:00:00+00:00,0.015,34.27,34.36,-0.09,-90.0,-121.2,13925.0,-6760.6
2012-02-24,201203,LONG,2012-02-23 23:00:00+00:00,2012-02-24 01:00:00+00:00,2012-02-24 03:00:00+00:00,-0.005,35.33,35.37,0.04,40.0,8.8,13965.0,-6751.8
2012-02-24,201203,SHORT,2012-02-24 03:00:00+00:00,2012-02-24 05:00:00+00:00,2012-02-24 07:00:00+00:00,0.095,35.465,35.285,0.18,180.0,148.8,14145.0,-6603.0
2012-02-27,201203,SHORT,2012-02-26 23:00:00+00:00,2012-02-27 01:00:00+00:00,2012-02-27 03:00:00+00:00,0.165,35.575,35.505,0.07,70.0,38.8,14215.0,-6564.2
2012-02-27,201203,SHORT,2012-02-27 03:00:00+00:00,2012-02-27 05:00:00+00:00,2012-02-27 07:00:00+00:00,0.01,35.515,35.45,0.065,65.0,33.8,14280.0,-6530.4
2012-02-28,201203,LONG,2012-02-27 23:30:00+00:00,2012-02-28 01:30:00+00:00,2012-02-28 03:30:00+00:00,-0.005,35.39,35.42,0.03,30.0,-1.2,14310.0,-6531.6
2012-02-28,201203,SHORT,2012-02-28 03:30:00+00:00,2012-02-28 05:30:00+00:00,2012-02-28 07:30:00+00:00,0.085,35.505,35.565,-0.06,-60.0,-91.2,14250.0,-6622.8
2012-02-29,201205,LONG,2012-02-28 23:00:00+00:00,2012-02-29 01:00:00+00:00,2012-02-29 03:00:00+00:00,-0.035,36.995,37.02,0.025,25.0,-6.2,14275.0,-6629.0
2012-02-29,201205,SHORT,2012-02-29 03:00:00+00:00,2012-02-29 05:00:00+00:00,2012-02-29 07:00:00+00:00,0.15,37.17,37.13,0.04,40.0,8.8,14315.0,-6620.2
2012-03-01,201205,SHORT,2012-02-29 23:00:00+00:00,2012-03-01 01:00:00+00:00,2012-03-01 03:00:00+00:00,0.405,35.07,35.15,-0.08,-80.0,-111.2,14235.0,-6731.4
2012-03-01,201205,LONG,2012-03-01 03:00:00+00:00,2012-03-01 05:00:00+00:00,2012-03-01 07:00:00+00:00,-0.015,35.135,34.88,-0.255,-255.0,-286.2,13980.0,-7017.6
2012-03-02,201205,LONG,2012-03-01 23:00:00+00:00,2012-03-02 01:00:00+00:00,2012-03-02 03:00:00+00:00,-0.055,35.455,35.385,-0.07,-70.0,-101.2,13910.0,-7118.8
2012-03-02,201205,SHORT,2012-03-02 03:00:00+00:00,2012-03-02 05:00:00+00:00,2012-03-02 07:00:00+00:00,0.02,35.405,35.31,0.095,95.0,63.8,14005.0,-7055.0
2012-03-05,201205,SHORT,2012-03-04 23:00:00+00:00,2012-03-05 01:00:00+00:00,2012-03-05 03:00:00+00:00,0.16,34.88,34.755,0.125,125.0,93.8,14130.0,-6961.2
2012-03-05,201205,LONG,2012-03-05 03:00:00+00:00,2012-03-05 05:00:00+00:00,2012-03-05 07:00:00+00:00,-0.015,34.74,34.705,-0.035,-35.0,-66.2,14095.0,-7027.4
2012-03-06,201205,SHORT,2012-03-05 23:00:00+00:00,2012-03-06 01:00:00+00:00,2012-03-06 03:00:00+00:00,0.06,34.11,33.965,0.145,145.0,113.8,14240.0,-6913.6
