session_date,dir,reason,ref_range,gross,net,contract,ref_hi,ref_lo,stop_px,entry_utc,exit_utc,entry_px,exit_px,cost,cum_net
2012-11-15,-1,eow,10.0,-10.0,-13.7,201212,1358.5,1348.5,1358.5,2012-11-15 16:00:00+00:00,2012-11-15 20:30:00+00:00,1348.25,1350.25,3.7,-3064.6
2012-11-16,-1,stop,10.75,-55.0,-58.7,201212,1352.75,1342.0,1352.75,2012-11-16 16:00:00+00:00,2012-11-16 16:30:00+00:00,1341.75,1352.75,3.7,-3123.3
2012-11-19,1,eow,7.75,23.75,20.05,201212,1379.25,1371.5,1371.5,2012-11-19 15:30:00+00:00,2012-11-19 20:30:00+00:00,1379.5,1384.25,3.7,-3103.25
2012-11-20,1,stop,6.5,-33.75,-37.45,201212,1384.75,1378.25,1378.25,2012-11-20 15:30:00+00:00,2012-11-20 18:00:00+00:00,1385.0,1378.25,3.7,-3140.7
2012-11-21,1,eow,5.25,-2.5,-6.2,201212,1388.75,1383.5,1383.5,2012-11-21 17:30:00+00:00,2012-11-21 20:30:00+00:00,1389.0,1388.5,3.7,-3146.9
2012-11-23,1,eow,8.5,12.5,8.8,201212,1402.25,1393.75,1393.75,2012-11-23 17:30:00+00:00,2012-11-23 18:00:00+00:00,1402.5,1405.0,3.7,-3138.1
2012-11-26,-1,stop,4.5,-23.75,-27.45,201212,1402.0,1397.5,1402.0,2012-11-26 16:00:00+00:00,2012-11-26 19:30:00+00:00,1397.25,1402.0,3.7,-3165.55
2012-11-27,-1,stop,8.75,-45.0,-48.7,201212,1406.75,1398.0,1406.75,2012-11-27 15:30:00+00:00,2012-11-27 16:30:00+00:00,1397.75,1406.75,3.7,-3214.25
2012-11-28,1,eow,8.5,81.25,77.55,201212,1391.5,1383.0,1383.0,2012-11-28 15:30:00+00:00,2012-11-28 20:30:00+00:00,1391.75,1408.0,3.7,-3136.7
2012-11-29,-1,eow,8.0,-22.5,-26.2,201212,1418.5,1410.5,1418.5,2012-11-29 16:30:00+00:00,2012-11-29 20:30:00+00:00,1410.25,1414.75,3.7,-3162.9
2012-11-30,-1,stop,4.0,-21.25,-24.95,201212,1416.5,1412.5,1416.5,2012-11-30 15:30:00+00:00,2012-11-30 20:30:00+00:00,1412.25,1416.5,3.7,-3187.85
2012-12-03,-1,eow,8.0,33.75,30.05,201212,1422.75,1414.75,1422.75,2012-12-03 15:30:00+00:00,2012-12-03 20:30:00+00:00,1414.5,1407.75,3.7,-3157.8
2012-12-04,-1,eow,6.25,-0.0,-3.7,201212,1411.75,1405.5,1411.75,2012-12-04 15:30:00+00:00,2012-12-04 20:30:00+00:00,1405.25,1405.25,3.7,-3161.5
2012-12-05,-1,stop,7.0,-36.25,-39.95,201212,1409.75,1402.75,1409.75,2012-12-05 15:30:00+00:00,2012-12-05 16:30:00+00:00,1402.5,1409.75,3.7,-3201.45
2012-12-06,1,eow,5.5,10.0,6.3,201212,1410.25,1404.75,1404.75,2012-12-06 15:30:00+00:00,2012-12-06 20:30:00+00:00,1410.5,1412.5,3.7,-3195.15
2012-12-07,-1,eow,6.75,-20.0,-23.7,201212,1420.0,1413.25,1420.0,2012-12-07 15:30:00+00:00,2012-12-07 20:30:00+00:00,1413.0,1417.0,3.7,-3218.85
2012-12-10,1,eow,4.75,-8.75,-12.45,201212,1419.25,1414.5,1414.5,2012-12-10 15:30:00+00:00,2012-12-10 20:30:00+00:00,1419.5,1417.75,3.7,-3231.3
2012-12-11,1,eow,7.25,-15.0,-18.7,201212,1430.0,1422.75,1422.75,2012-12-11 15:30:00+00:00,2012-12-11 20:30:00+00:00,1430.25,1427.25,3.7,-3250.0
2012-12-12,-1,stop,4.5,-23.75,-27.45,201212,1433.5,1429.0,1433.5,2012-12-12 15:30:00+00:00,2012-12-12 17:30:00+00:00,1428.75,1433.5,3.7,-3277.45
2012-12-13,-1,eow,5.75,27.5,23.8,201212,1431.5,1425.75,1431.5,2012-12-13 16:00:00+00:00,2012-12-13 20:30:00+00:00,1425.5,1420.0,3.7,-3253.65
2012-12-14,-1,eow,4.75,1.25,-2.45,201212,1419.0,1414.25,1419.0,2012-12-14 16:30:00+00:00,2012-12-14 20:30:00+00:00,1414.0,1413.75,3.7,-3256.1
2012-12-18,1,eow,5.5,53.75,50.05,201303,1430.75,1425.25,1425.25,2012-12-18 15:30:00+00:00,2012-12-18 20:30:00+00:00,1431.0,1441.75,3.7,-3206.05
2012-12-19,-1,eow,7.25,26.25,22.55,201303,1444.25,1437.0,1444.25,2012-12-19 19:00:00+00:00,2012-12-19 20:30:00+00:00,1436.75,1431.5,3.7,-3183.5
2012-12-20,1,eow,6.5,18.75,15.05,201303,1434.75,1428.25,1428.25,2012-12-20 18:30:00+00:00,2012-12-20 20:30:00+00:00,1435.0,1438.75,3.7,-3168.45
2012-12-21,-1,eow,10.75,-40.0,-43.7,201303,1428.25,1417.5,1428.25,2012-12-21 16:30:00+00:00,2012-12-21 20:30:00+00:00,1417.25,1425.25,3.7,-3212.15
2012-12-24,1,stop,3.0,-16.25,-19.95,201303,1422.25,1419.25,1419.25,2012-12-24 15:30:00+00:00,2012-12-24 17:00:00+00:00,1422.5,1419.25,3.7,-3232.1
2012-12-26,-1,eow,4.0,26.25,22.55,201303,1424.5,1420.5,1424.5,2012-12-26 15:30:00+00:00,2012-12-26 20:30:00+00:00,1420.25,1415.0,3.7,-3209.55
2012-12-27,-1,eow,15.0,-48.75,-52.45,201303,1418.5,1403.5,1418.5,2012-12-27 16:00:00+00:00,2012-12-27 20:30:00+00:00,1403.25,1413.0,3.7,-3262.0
2012-12-28,1,stop,6.0,-31.25,-34.95,201303,1406.5,1400.5,1400.5,2012-12-28 15:30:00+00:00,2012-12-28 20:30:00+00:00,1406.75,1400.5,3.7,-3296.95
2012-12-31,1,eow,11.75,86.25,82.55,201303,1404.0,1392.25,1392.25,2012-12-31 15:30:00+00:00,2012-12-31 20:30:00+00:00,1404.25,1421.5,3.7,-3214.4
2013-01-02,-1,stop,6.75,-35.0,-38.7,201303,1452.75,1446.0,1452.75,2013-01-02 16:00:00+00:00,2013-01-02 20:30:00+00:00,1445.75,1452.75,3.7,-3253.1
2013-01-03,1,stop,4.0,-21.25,-24.95,201303,1456.75,1452.75,1452.75,2013-01-03 15:30:00+00:00,2013-01-03 20:00:00+00:00,1457.0,1452.75,3.7,-3278.05
2013-01-04,1,eow,5.75,7.5,3.8,201303,1459.0,1453.25,1453.25,2013-01-04 16:30:00+00:00,2013-01-04 20:30:00+00:00,1459.25,1460.75,3.7,-3274.25
2013-01-07,1,stop,3.25,-17.5,-21.2,201303,1455.75,1452.5,1452.5,2013-01-07 15:30:00+00:00,2013-01-07 16:30:00+00:00,1456.0,1452.5,3.7,-3295.45
2013-01-08,-1,eow,7.25,-17.5,-21.2,201303,1455.75,1448.5,1455.75,2013-01-08 15:30:00+00:00,2013-01-08 20:30:00+00:00,1448.25,1451.75,3.7,-3316.65
2013-01-09,-1,eow,5.25,-8.75,-12.45,201303,1459.5,1454.25,1459.5,2013-01-09 17:30:00+00:00,2013-01-09 20:30:00+00:00,1454.0,1455.75,3.7,-3329.1
2013-01-10,-1,stop,4.25,-22.5,-26.2,201303,1464.75,1460.5,1464.75,2013-01-10 15:30:00+00:00,2013-01-10 19:30:00+00:00,1460.25,1464.75,3.7,-3355.3
2013-01-15,1,eow,4.25,17.5,13.8,201303,1462.5,1458.25,1458.25,2013-01-15 15:30:00+00:00,2013-01-15 20:30:00+00:00,1462.75,1466.25,3.7,-3341.5
2013-01-16,1,eow,4.5,0.0,-3.7,201303,1466.5,1462.0,1462.0,2013-01-16 16:00:00+00:00,2013-01-16 20:30:00+00:00,1466.75,1466.75,3.7,-3345.2
2013-01-17,1,eow,4.5,3.75,0.04999999999999982,201303,1474.75,1470.25,1470.25,2013-01-17 16:30:00+00:00,2013-01-17 20:30:00+00:00,1475.0,1475.75,3.7,-3345.15
2013-01-18,-1,stop,4.25,-22.5,-26.2,201303,1477.25,1473.0,1477.25,2013-01-18 15:30:00+00:00,2013-01-18 19:30:00+00:00,1472.75,1477.25,3.7,-3371.35
2013-01-21,1,eow,2.75,3.75,0.04999999999999982,201303,1482.5,1479.75,1479.75,2013-01-21 15:30:00+00:00,2013-01-21 16:00:00+00:00,1482.75,1483.5,3.7,-3371.3
2013-01-22,-1,stop,5.25,-27.5,-31.2,201303,1481.5,1476.25,1481.5,2013-01-22 15:30:00+00:00,2013-01-22 17:00:00+00:00,1476.0,1481.5,3.7,-3402.5
2013-01-23,-1,stop,3.5,-18.75,-22.45,201303,1489.5,1486.0,1489.5,2013-01-23 15:30:00+00:00,2013-01-23 19:00:00+00:00,1485.75,1489.5,3.7,-3424.95
2013-01-24,1,stop,9.5,-48.75,-52.45,201303,1496.75,1487.25,1487.25,2013-01-24 16:00:00+00:00,2013-01-24 18:30:00+00:00,1497.0,1487.25,3.7,-3477.4
2013-01-25,-1,stop,6.5,-33.75,-37.45,201303,1497.5,1491.0,1497.5,2013-01-25 15:30:00+00:00,2013-01-25 18:30:00+00:00,1490.75,1497.5,3.7,-3514.85
2013-01-29,1,eow,5.0,23.75,20.05,201303,1498.0,1493.0,1493.0,2013-01-29 16:00:00+00:00,2013-01-29 20:30:00+00:00,1498.25,1503.0,3.7,-3494.8
2013-01-30,-1,eow,6.25,8.75,5.05,201303,1505.5,1499.25,1505.5,2013-01-30 15:30:00+00:00,2013-01-30 20:30:00+00:00,1499.0,1497.25,3.7,-3489.75
2013-01-31,-1,eow,6.75,-7.5,-11.2,201303,1500.0,1493.25,1500.0,2013-01-31 16:00:00+00:00,2013-01-31 20:30:00+00:00,1493.0,1494.5,3.7,-3500.95
2013-02-01,1,eow,7.5,2.5,-1.2000000000000002,201303,1507.5,1500.0,1500.0,2013-02-01 16:30:00+00:00,2013-02-01 20:30:00+00:00,1507.75,1508.25,3.7,-3502.15
2013-02-04,-1,eow,4.0,30.0,26.3,201303,1501.75,1497.75,1501.75,2013-02-04 15:30:00+00:00,2013-02-04 20:30:00+00:00,1497.5,1491.5,3.7,-3475.85
2013-02-05,1,eow,6.25,7.5,3.8,201303,1505.0,1498.75,1498.75,2013-02-05 15:30:00+00:00,2013-02-05 20:30:00+00:00,1505.25,1506.75,3.7,-3472.05
2013-02-06,1,eow,5.25,11.25,7.55,201303,1505.25,1500.0,1500.0,2013-02-06 15:30:00+00:00,2013-02-06 20:30:00+00:00,1505.5,1507.75,3.7,-3464.5
2013-02-07,-1,eow,11.75,-41.25,-44.95,201303,1509.5,1497.75,1509.5,2013-02-07 15:30:00+00:00,2013-02-07 20:30:00+00:00,1497.5,1505.75,3.7,-3509.45
2013-02-08,1,eow,6.5,-5.0,-8.7,201303,1514.5,1508.0,1508.0,2013-02-08 15:30:00+00:00,2013-02-08 20:30:00+00:00,1514.75,1513.75,3.7,-3518.15
2013-02-11,1,eow,4.0,-2.5,-6.2,201303,1513.75,1509.75,1509.75,2013-02-11 16:00:00+00:00,2013-02-11 20:30:00+00:00,1514.0,1513.5,3.7,-3524.35
2013-02-12,1,eow,4.25,-2.5,-6.2,201303,1516.25,1512.0,1512.0,2013-02-12 17:00:00+00:00,2013-02-12 20:30:00+00:00,1516.5,1516.0,3.7,-3530.55
2013-02-13,-1,eow,4.75,-2.5,-6.2,201303,1522.0,1517.25,1522.0,2013-02-13 16:00:00+00:00,2013-02-13 20:30:00+00:00,1517.0,1517.5,3.7,-3536.75
2013-02-14,1,eow,5.75,11.25,7.55,201303,1516.5,1510.75,1510.75,2013-02-14 15:30:00+00:00,2013-02-14 20:30:00+00:00,1516.75,1519.0,3.7,-3529.2
2013-02-15,-1,eow,3.0,5.0,1.2999999999999998,201303,1521.75,1518.75,1521.75,2013-02-15 15:30:00+00:00,2013-02-15 20:30:00+00:00,1518.5,1517.5,3.7,-3527.9
2013-02-19,1,eow,5.25,16.25,12.55,201303,1524.75,1519.5,1519.5,2013-02-19 15:30:00+00:00,2013-02-19 20:30:00+00:00,1525.0,1528.25,3.7,-3515.35
2013-02-20,-1,eow,3.25,77.5,73.8,201303,1528.0,1524.75,1528.0,2013-02-20 15:30:00+00:00,2013-02-20 20:30:00+00:00,1524.5,1509.0,3.7,-3441.55
2013-02-21,-1,eow,8.25,-13.75,-17.45,201303,1505.5,1497.25,1505.5,2013-02-21 17:30:00+00:00,2013-02-21 20:30:00+00:00,1497.0,1499.75,3.7,-3459.0
2013-02-22,-1,stop,5.5,-28.75,-32.45,201303,1509.5,1504.0,1509.5,2013-02-22 16:00:00+00:00,2013-02-22 17:30:00+00:00,1503.75,1509.5,3.7,-3491.45
2013-02-25,-1,eow,9.0,147.5,143.8,201303,1524.5,1515.5,1524.5,2013-02-25 15:30:00+00:00,2013-02-25 20:30:00+00:00,1515.25,1485.75,3.7,-3347.65
2013-02-26,-1,stop,8.5,-43.75,-47.45,201303,1497.0,1488.5,1497.0,2013-02-26 15:30:00+00:00,2013-02-26 19:30:00+00:00,1488.25,1497.0,3.7,-3395.1
2013-02-27,1,eow,11.5,50.0,46.3,201303,1504.75,1493.25,1493.25,2013-02-27 15:30:00+00:00,2013-02-27 20:30:00+00:00,1505.0,1515.0,3.7,-3348.8
2013-02-28,1,stop,7.25,-37.5,-41.2,201303,1520.5,1513.25,1513.25,2013-02-28 18:00:00+00:00,2013-02-28 20:30:00+00:00,1520.75,1513.25,3.7,-3390.0
2013-03-01,1,eow,10.5,33.75,30.05,201303,1510.0,1499.5,1499.5,2013-03-01 15:30:00+00:00,2013-03-01 20:30:00+00:00,1510.25,1517.0,3.7,-3359.95
2013-03-04,1,stop,5.0,-26.25,-29.95,201303,1516.5,1511.5,1511.5,2013-03-04 15:30:00+00:00,2013-03-04 17:30:00+00:00,1516.75,1511.5,3.7,-3389.9
2013-03-05,1,eow,6.75,-2.5,-6.2,201303,1538.75,1532.0,1532.0,2013-03-05 15:30:00+00:00,2013-03-05 20:30:00+00:00,1539.0,1538.5,3.7,-3396.1
2013-03-06,-1,eow,4.0,-1.25,-4.95,201303,1544.75,1540.75,1544.75,2013-03-06 15:30:00+00:00,2013-03-06 20:30:00+00:00,1540.5,1540.75,3.7,-3401.05
2013-03-07,1,stop,3.75,-20.0,-23.7,201303,1544.75,1541.0,1541.0,2013-03-07 16:30:00+00:00,2013-03-07 19:00:00+00:00,1545.0,1541.0,3.7,-3424.75
2013-03-12,-1,eow,3.75,1.25,-2.45,201306,1551.0,1547.25,1551.0,2013-03-12 15:00:00+00:00,2013-03-12 19:30:00+00:00,1547.0,1546.75,3.7,-3427.2
2013-03-13,1,eow,6.0,0.0,-3.7,201306,1548.25,1542.25,1542.25,2013-03-13 16:00:00+00:00,2013-03-13 19:30:00+00:00,1548.5,1548.5,3.7,-3430.9
2013-03-14,1,eow,4.0,2.5,-1.2000000000000002,201306,1555.75,1551.75,1551.75,2013-03-14 16:00:00+00:00,2013-03-14 19:30:00+00:00,1556.0,1556.5,3.7,-3432.1
2013-03-15,1,eow,6.0,-3.75,-7.45,201306,1555.0,1549.0,1549.0,2013-03-15 15:00:00+00:00,2013-03-15 19:30:00+00:00,1555.25,1554.5,3.7,-3439.55
2013-03-18,1,eow,9.25,-8.75,-12.45,201306,1547.0,1537.75,1537.75,2013-03-18 14:30:00+00:00,2013-03-18 19:30:00+00:00,1547.25,1545.5,3.7,-3452.0
2013-03-19,-1,eow,5.5,15.0,11.3,201306,1551.0,1545.5,1551.0,2013-03-19 14:30:00+00:00,2013-03-19 19:30:00+00:00,1545.25,1542.25,3.7,-3440.7
2013-03-20,-1,stop,3.75,-20.0,-23.7,201306,1553.25,1549.5,1553.25,2013-03-20 14:30:00+00:00,2013-03-20 18:00:00+00:00,1549.25,1553.25,3.7,-3464.4
2013-03-21,1,stop,6.5,-33.75,-37.45,201306,1548.0,1541.5,1541.5,2013-03-21 15:30:00+00:00,2013-03-21 17:30:00+00:00,1548.25,1541.5,3.7,-3501.85
2013-03-22,1,eow,6.5,6.25,2.55,201306,1549.5,1543.0,1543.0,2013-03-22 15:00:00+00:00,2013-03-22 19:30:00+00:00,1549.75,1551.0,3.7,-3499.3
2013-03-25,-1,eow,4.75,38.75,35.05,201306,1558.5,1553.75,1558.5,2013-03-25 14:30:00+00:00,2013-03-25 19:30:00+00:00,1553.5,1545.75,3.7,-3464.25
2013-03-26,1,stop,4.25,-22.5,-26.2,201306,1555.75,1551.5,1551.5,2013-03-26 14:30:00+00:00,2013-03-26 16:00:00+00:00,1556.0,1551.5,3.7,-3490.45
2013-03-27,1,eow,5.5,28.75,25.05,201306,1551.25,1545.75,1545.75,2013-03-27 14:30:00+00:00,2013-03-27 19:30:00+00:00,1551.5,1557.25,3.7,-3465.4
2013-03-28,1,eow,5.0,10.0,6.3,201306,1559.5,1554.5,1554.5,2013-03-28 14:30:00+00:00,2013-03-28 19:30:00+00:00,1559.75,1561.75,3.7,-3459.1
2013-04-01,-1,eow,7.5,3.75,0.04999999999999982,201306,1565.0,1557.5,1565.0,2013-04-01 14:30:00+00:00,2013-04-01 19:30:00+00:00,1557.25,1556.5,3.7,-3459.05
2013-04-02,1,stop,6.25,-32.5,-36.2,201306,1567.0,1560.75,1560.75,2013-04-02 14:30:00+00:00,2013-04-02 19:30:00+00:00,1567.25,1560.75,3.7,-3495.25
2013-04-03,-1,eow,9.0,42.5,38.8,201306,1566.25,1557.25,1566.25,2013-04-03 14:30:00+00:00,2013-04-03 19:30:00+00:00,1557.0,1548.5,3.7,-3456.45
